Beds,Bath,Sqft,Lot_Size,Type,Price,Address,Province,Region
3.0,1.0,1630.0,3.81,Residential,225000,1368 Forties Rd. ,NS,Atlantic region
2.0,1.0,944.0,.826,Residential,174500,111 Lakeshore Dr. ,NS,Atlantic region
4.0,2.0,4000.0,,Residential,599000,1734 HWY 1 ,NS,Atlantic region
5.0,2.0,2721.0,>107,Residential,690000,2591 Clarence Road ,NS,Atlantic region
15.0,6.0,6630.0,.709,Residential,495000,4616 Highway 1 Weymouth ,NS,Atlantic region
5.0,3.0,3000.0,>593,Residential,1295000,1218 Lake Pleasant Rd ,NS,Atlantic region
4.0,2.0,3800.0,g>17,Residential,849000,58 Pipers Lane ,NS,Atlantic region
5.0,5.0,2700.0,0.19,Residential,499950,372 ST George St ,NS,Atlantic region
5.0,4.0,4554.0,,Single,1379500,Lot CL21 75 Cairnstone Lane ,NS,Atlantic region
4.0,4.0,3060.0,,Single,349900,79 Glenmore Road ,NS,Atlantic region
4.0,1.0,1929.0,,Single,449900,8 & 12 MERRYS Road ,NS,Atlantic region
3.0,2.0,1709.0,,Residential,250000,18 Cole Drive ,NS,Atlantic region
4.0,3.0,2636.0,,Single,299900,122 Thornhill Drive ,NS,Atlantic region
3.0,2.0,1408.0,,Single,249900,12 Ridgecrest Drive ,NS,Atlantic region
4.0,4.0,2082.0,,Single,439900,Lot 112A Sam Crescent ,NS,Atlantic region
4.0,3.0,1938.0,,Residential,199000,193 Shore Road ,NS,Atlantic region
3.0,3.0,1699.0,,Single,349900,29 Orcadian Court ,NS,Atlantic region
5.0,3.0,2857.0,,Single,499900,21 Winston Drive ,NS,Atlantic region
4.0,3.0,2053.0,,Single,599900,119 Midnight Run ,NS,Atlantic region
4.0,4.0,2888.0,,Single,659900,111 Waxwing Lane ,NS,Atlantic region
4.0,4.0,2430.0,,Single,449900,65 Pearl Drive ,NS,Atlantic region
5.0,2.0,1600.0,,Single,139000,16 HEMLOCK Drive ,NS,Atlantic region
2.0,1.0,1162.0,,Single,99000,5902 West Dalhousie Road ,NS,Atlantic region
3.0,1.0,1046.0,,Single,250000,622 Bennetts Bay Road ,NS,Atlantic region
4.0,2.0,2166.0,,Residential,349900,29 MARLBORO Drive ,NS,Atlantic region
8.0,5.0,6200.0,,Single,975000,610 Main Street ,NS,Atlantic region
4.0,3.0,1843.0,,Single,419900,60 Talon Drive ,NS,Atlantic region
2.0,2.0,743.0,,Residential,536000,907 1650 Granville Street ,NS,Atlantic region
